fecha,eto,viento_max,viento_med,precip_max,precip,temp_max_abs,temp_max,temp_med,temp_min_abs,temp_min,hr_max,hr_med,hr_min,rad_max,rad_med
2022-01-01,,2.94,0.62,0.1,0.2,16.48,15.66,10.11,5.553,6.06,98.05,95.42,83.78,472.0,64.13
2022-01-02,,4.1160000000000005,1.37,0.1,0.2,18.3,17.67,9.74,3.465,4.22,97.47,88.64,66.5,528.6,121.13
2022-01-03,,4.312,1.04,0.1,0.1,19.58,18.8,10.51,3.431,3.83,95.43,86.34,64.23,498.2,119.43
2022-01-04,,13.52,2.36,0.1,0.1,17.8,17.25,12.06,5.734,6.45,94.85,79.36,47.33,506.0,119.89
2022-01-05,,13.62,3.21,0.2,0.3,17.13,16.53,12.72,9.54,10.52,68.01,50.23,38.03,580.4,77.99
2022-01-06,,7.84,1.67,0.0,0.0,15.53,14.67,9.35,4.075,5.09,86.63,65.69,28.8,520.7,127.8
2022-01-07,1.1514285714285715,5.39,1.24,0.0,0.0,16.85,16.12,7.7,1.92,2.71,88.78,66.28,27.61,520.4,127.13
2022-01-08,1.2871428571428571,9.9,2.26,0.0,0.0,18.3,17.61,11.06,2.889,4.76,79.27,57.36,31.05,695.1,122.9
2022-01-09,1.417142857142857,10.68,1.47,0.0,0.0,19.05,18.52,12.6,2.315,3.46,77.06,50.14,30.8,511.5,81.69
2022-01-10,1.4766666666666668,14.41,3.93,0.0,0.0,23.01,22.7,18.88,14.36,14.78,83.7,50.77,38.56,517.3,126.41
2022-01-11,1.465714285714286,7.94,0.88,2.0,5.3,14.94,14.56,11.63,5.295,5.8,96.22,89.91,74.37,272.6,43.62
2022-01-12,1.3842857142857146,4.606,0.51,0.0,0.0,16.74,15.92,9.32,2.293,2.69,97.15,84.93,61.91,653.6,134.2
2022-01-13,1.3171428571428572,7.74,2.52,0.6,0.6,14.77,14.26,10.84,5.566,7.15,90.55,74.6,54.82,651.3,115.01
2022-01-14,1.312857142857143,6.272,2.41,0.0,0.0,13.95,13.39,10.54,7.69,8.1,83.78,71.32,60.59,651.8,69.62
2022-01-15,1.2571428571428573,5.684,1.5,0.0,0.0,15.84,14.9,10.6,5.39,6.12,93.27,76.93,58.53,659.6,118.48
2022-01-16,1.2100000000000002,5.684,1.12,0.0,0.0,17.55,16.7,7.7,1.95,2.26,93.57,76.66,32.63,541.7,133.75
2022-01-17,1.144761904761905,4.41,0.69,0.0,0.0,17.14,16.09,6.91,0.6990000000000001,1.25,95.33,81.46,52.48,572.1,132.71
2022-01-18,1.1271428571428574,4.1160000000000005,0.74,0.0,0.0,16.61,15.65,7.02,0.631,0.93,95.18,82.2,52.46,545.1,134.17
2022-01-19,1.1700000000000002,5.88,1.1,0.0,0.0,15.77,15.01,9.11,2.99,3.7,92.88,80.31,55.09,685.1,111.44
2022-01-20,1.1642857142857146,5.978,1.05,0.2,0.2,15.0,14.51,8.24,1.072,2.07,95.35,82.24,56.37,709.0,117.15
2022-01-21,1.1471428571428572,5.782,1.42,0.0,0.0,15.56,14.87,10.31,5.495,6.27,93.2,77.14,53.9,615.6,124.99
