date,sensor_temperatura_10cm_min,sensor_temperatura_10cm_max,sensor_temperatura_10cm_mean,sensor_temperatura_20cm_min,sensor_temperatura_20cm_max,sensor_temperatura_20cm_mean,sensor_temperatura_30cm_min,sensor_temperatura_30cm_max,sensor_temperatura_30cm_mean,sensor_temperatura_40cm_min,sensor_temperatura_40cm_max,sensor_temperatura_40cm_mean,sensor_temperatura_50cm_min,sensor_temperatura_50cm_max,sensor_temperatura_50cm_mean,sensor_temperatura_60cm_min,sensor_temperatura_60cm_max,sensor_temperatura_60cm_mean,sensor_temperatura_70cm_min,sensor_temperatura_70cm_max,sensor_temperatura_70cm_mean,sensor_temperatura_80cm_min,sensor_temperatura_80cm_max,sensor_temperatura_80cm_mean,sensor_temperatura_90cm_min,sensor_temperatura_90cm_max,sensor_temperatura_90cm_mean,sensor_humedad_10cm_min,sensor_humedad_10cm_max,sensor_humedad_10cm_mean,sensor_humedad_20cm_min,sensor_humedad_20cm_max,sensor_humedad_20cm_mean,sensor_humedad_30cm_min,sensor_humedad_30cm_max,sensor_humedad_30cm_mean,sensor_humedad_40cm_min,sensor_humedad_40cm_max,sensor_humedad_40cm_mean,sensor_humedad_50cm_min,sensor_humedad_50cm_max,sensor_humedad_50cm_mean,sensor_humedad_60cm_min,sensor_humedad_60cm_max,sensor_humedad_60cm_mean,sensor_humedad_70cm_min,sensor_humedad_70cm_max,sensor_humedad_70cm_mean,sensor_humedad_80cm_min,sensor_humedad_80cm_max,sensor_humedad_80cm_mean,sensor_humedad_90cm_min,sensor_humedad_90cm_max,sensor_humedad_90cm_mean,sensor_salinidad_10cm_min,sensor_salinidad_10cm_max,sensor_salinidad_10cm_mean,sensor_salinidad_20cm_min,sensor_salinidad_20cm_max,sensor_salinidad_20cm_mean,sensor_salinidad_30cm_min,sensor_salinidad_30cm_max,sensor_salinidad_30cm_mean,sensor_salinidad_40cm_min,sensor_salinidad_40cm_max,sensor_salinidad_40cm_mean,sensor_salinidad_50cm_min,sensor_salinidad_50cm_max,sensor_salinidad_50cm_mean,sensor_salinidad_60cm_min,sensor_salinidad_60cm_max,sensor_salinidad_60cm_mean,sensor_salinidad_70cm_min,sensor_salinidad_70cm_max,sensor_salinidad_70cm_mean,sensor_salinidad_80cm_min,sensor_salinidad_80cm_max,sensor_salinidad_80cm_mean,sensor_salinidad_90cm_min,sensor_salinidad_90cm_max,sensor_salinidad_90cm_mean
2022-10-18,21.28,24.34,22.905454545454546,21.43,22.67,22.245454545454546,21.28,22.09,21.780454545454546,21.1,21.51,21.308636363636364,21.02,21.23,21.122272727272726,21.52,21.72,21.56954545454545,20.97,21.1,21.045,21.32,21.38,21.36272727272727,21.76,21.88,21.825454545454544,21.28,24.34,22.905454545454546,21.43,22.67,22.245454545454546,21.28,22.09,21.780454545454546,21.1,21.51,21.308636363636364,21.02,21.23,21.122272727272726,21.52,21.72,21.56954545454545,20.97,21.1,21.045,21.32,21.38,21.36272727272727,21.76,21.88,21.825454545454544,21.28,24.34,22.905454545454546,21.43,22.67,22.245454545454546,21.28,22.09,21.780454545454546,21.1,21.51,21.308636363636364,21.02,21.23,21.122272727272726,21.52,21.72,21.56954545454545,20.97,21.1,21.045,21.32,21.38,21.36272727272727,21.76,21.88,21.825454545454544
2022-10-19,20.86,24.36,22.177446808510638,21.41,23.02,22.148297872340425,21.66,22.42,22.00063829787234,21.34,21.88,21.59127659574468,21.25,21.66,21.43191489361702,21.72,21.93,21.769361702127657,21.1,21.33,21.17,21.3,21.56,21.41404255319149,21.83,21.92,21.88212765957447,20.86,24.36,22.177446808510638,21.41,23.02,22.148297872340425,21.66,22.42,22.00063829787234,21.34,21.88,21.59127659574468,21.25,21.66,21.43191489361702,21.72,21.93,21.769361702127657,21.1,21.33,21.17,21.3,21.56,21.41404255319149,21.83,21.92,21.88212765957447,20.86,24.36,22.177446808510638,21.41,23.02,22.148297872340425,21.66,22.42,22.00063829787234,21.34,21.88,21.59127659574468,21.25,21.66,21.43191489361702,21.72,21.93,21.769361702127657,21.1,21.33,21.17,21.3,21.56,21.41404255319149,21.83,21.92,21.88212765957447
2022-10-20,20.91,23.69,22.212500000000002,21.79,22.83,22.29125,21.99,22.5,22.22145833333333,21.71,22.0,21.837708333333335,21.6,21.84,21.659166666666668,21.93,22.13,21.997708333333332,21.31,21.54,21.369791666666668,21.51,21.67,21.575208333333332,21.88,22.04,21.92458333333333,20.91,23.69,22.212500000000002,21.79,22.83,22.29125,21.99,22.5,22.22145833333333,21.71,22.0,21.837708333333335,21.6,21.84,21.659166666666668,21.93,22.13,21.997708333333332,21.31,21.54,21.369791666666668,21.51,21.67,21.575208333333332,21.88,22.04,21.92458333333333,20.91,23.69,22.212500000000002,21.79,22.83,22.29125,21.99,22.5,22.22145833333333,21.71,22.0,21.837708333333335,21.6,21.84,21.659166666666668,21.93,22.13,21.997708333333332,21.31,21.54,21.369791666666668,21.51,21.67,21.575208333333332,21.88,22.04,21.92458333333333
2022-10-21,20.86,24.15,22.121875,21.65,23.08,22.326666666666668,22.03,22.63,22.300208333333334,21.73,22.12,21.925,21.71,21.87,21.816458333333333,22.13,22.16,22.13333333333333,21.47,21.6,21.526875,21.57,21.79,21.72875,22.01,22.11,22.079166666666666,20.86,24.15,22.121875,21.65,23.08,22.326666666666668,22.03,22.63,22.300208333333334,21.73,22.12,21.925,21.71,21.87,21.816458333333333,22.13,22.16,22.13333333333333,21.47,21.6,21.526875,21.57,21.79,21.72875,22.01,22.11,22.079166666666666,20.86,24.15,22.121875,21.65,23.08,22.326666666666668,22.03,22.63,22.300208333333334,21.73,22.12,21.925,21.71,21.87,21.816458333333333,22.13,22.16,22.13333333333333,21.47,21.6,21.526875,21.57,21.79,21.72875,22.01,22.11,22.079166666666666
2022-10-22,20.49,23.95,21.721041666666665,21.43,22.9,22.088541666666668,21.87,22.5,22.195416666666663,21.73,22.09,21.9175,21.76,21.94,21.841250000000002,22.13,22.34,22.185,21.55,21.73,21.640833333333333,21.69,21.82,21.765833333333333,22.09,22.23,22.127708333333334,20.49,23.95,21.721041666666665,21.43,22.9,22.088541666666668,21.87,22.5,22.195416666666663,21.73,22.09,21.9175,21.76,21.94,21.841250000000002,22.13,22.34,22.185,21.55,21.73,21.640833333333333,21.69,21.82,21.765833333333333,22.09,22.23,22.127708333333334,20.49,23.95,21.721041666666665,21.43,22.9,22.088541666666668,21.87,22.5,22.195416666666663,21.73,22.09,21.9175,21.76,21.94,21.841250000000002,22.13,22.34,22.185,21.55,21.73,21.640833333333333,21.69,21.82,21.765833333333333,22.09,22.23,22.127708333333334
2022-10-23,19.86,24.28,21.840625,21.27,23.06,22.118333333333336,21.85,22.65,22.20125,21.77,22.1,21.923333333333332,21.71,21.89,21.831875,22.13,22.34,22.205833333333334,21.57,21.75,21.686041666666668,21.71,21.9,21.7775,22.09,22.27,22.173333333333332,19.86,24.28,21.840625,21.27,23.06,22.118333333333336,21.85,22.65,22.20125,21.77,22.1,21.923333333333332,21.71,21.89,21.831875,22.13,22.34,22.205833333333334,21.57,21.75,21.686041666666668,21.71,21.9,21.7775,22.09,22.27,22.173333333333332,19.86,24.28,21.840625,21.27,23.06,22.118333333333336,21.85,22.65,22.20125,21.77,22.1,21.923333333333332,21.71,21.89,21.831875,22.13,22.34,22.205833333333334,21.57,21.75,21.686041666666668,21.71,21.9,21.7775,22.09,22.27,22.173333333333332
2022-10-24,18.88,23.69,20.60770833333333,20.59,22.25,21.450833333333335,21.44,22.5,21.85354166666667,21.46,22.1,21.770416666666666,21.6,21.97,21.754375,22.1,22.34,22.209999999999997,21.52,21.73,21.66270833333333,21.69,21.88,21.782291666666666,22.17,22.29,22.24416666666667,18.88,23.69,20.60770833333333,20.59,22.25,21.450833333333335,21.44,22.5,21.85354166666667,21.46,22.1,21.770416666666666,21.6,21.97,21.754375,22.1,22.34,22.209999999999997,21.52,21.73,21.66270833333333,21.69,21.88,21.782291666666666,22.17,22.29,22.24416666666667,18.88,23.69,20.60770833333333,20.59,22.25,21.450833333333335,21.44,22.5,21.85354166666667,21.46,22.1,21.770416666666666,21.6,21.97,21.754375,22.1,22.34,22.209999999999997,21.52,21.73,21.66270833333333,21.69,21.88,21.782291666666666,22.17,22.29,22.24416666666667
2022-10-25,18.06,23.53,20.317916666666665,20.14,22.06,21.025000000000002,20.99,21.89,21.464583333333334,21.15,21.87,21.483125,21.38,21.66,21.506041666666665,21.9,22.17,22.01625,21.34,21.57,21.475416666666664,21.62,21.79,21.753333333333334,22.09,22.27,22.139583333333334,18.06,23.53,20.317916666666665,20.14,22.06,21.025000000000002,20.99,21.89,21.464583333333334,21.15,21.87,21.483125,21.38,21.66,21.506041666666665,21.9,22.17,22.01625,21.34,21.57,21.475416666666664,21.62,21.79,21.753333333333334,22.09,22.27,22.139583333333334,18.06,23.53,20.317916666666665,20.14,22.06,21.025000000000002,20.99,21.89,21.464583333333334,21.15,21.87,21.483125,21.38,21.66,21.506041666666665,21.9,22.17,22.01625,21.34,21.57,21.475416666666664,21.62,21.79,21.753333333333334,22.09,22.27,22.139583333333334
2022-10-26,18.19,23.12,20.064583333333335,19.97,21.85,20.826666666666664,20.83,21.81,21.265208333333334,20.97,21.64,21.289583333333333,21.18,21.46,21.320625,21.72,21.99,21.844166666666666,21.23,21.44,21.327291666666664,21.54,21.72,21.612083333333334,21.93,22.13,22.06958333333333,18.19,23.12,20.064583333333335,19.97,21.85,20.826666666666664,20.83,21.81,21.265208333333334,20.97,21.64,21.289583333333333,21.18,21.46,21.320625,21.72,21.99,21.844166666666666,21.23,21.44,21.327291666666664,21.54,21.72,21.612083333333334,21.93,22.13,22.06958333333333,18.19,23.12,20.064583333333335,19.97,21.85,20.826666666666664,20.83,21.81,21.265208333333334,20.97,21.64,21.289583333333333,21.18,21.46,21.320625,21.72,21.99,21.844166666666666,21.23,21.44,21.327291666666664,21.54,21.72,21.612083333333334,21.93,22.13,22.06958333333333
2022-10-27,16.4,23.09,19.238958333333333,18.99,21.48,20.22625,20.26,21.48,20.85875,20.75,21.44,21.028125,20.87,21.33,21.087291666666665,21.52,21.77,21.651875,21.05,21.33,21.191041666666667,21.36,21.59,21.502499999999998,21.88,22.01,21.908125,16.4,23.09,19.238958333333333,18.99,21.48,20.22625,20.26,21.48,20.85875,20.75,21.44,21.028125,20.87,21.33,21.087291666666665,21.52,21.77,21.651875,21.05,21.33,21.191041666666667,21.36,21.59,21.502499999999998,21.88,22.01,21.908125,16.4,23.09,19.238958333333333,18.99,21.48,20.22625,20.26,21.48,20.85875,20.75,21.44,21.028125,20.87,21.33,21.087291666666665,21.52,21.77,21.651875,21.05,21.33,21.191041666666667,21.36,21.59,21.502499999999998,21.88,22.01,21.908125
