date,sensor_temperatura_10cm_min,sensor_temperatura_10cm_max,sensor_temperatura_10cm_mean,sensor_temperatura_20cm_min,sensor_temperatura_20cm_max,sensor_temperatura_20cm_mean,sensor_temperatura_30cm_min,sensor_temperatura_30cm_max,sensor_temperatura_30cm_mean,sensor_temperatura_40cm_min,sensor_temperatura_40cm_max,sensor_temperatura_40cm_mean,sensor_temperatura_50cm_min,sensor_temperatura_50cm_max,sensor_temperatura_50cm_mean,sensor_temperatura_60cm_min,sensor_temperatura_60cm_max,sensor_temperatura_60cm_mean,sensor_temperatura_70cm_min,sensor_temperatura_70cm_max,sensor_temperatura_70cm_mean,sensor_temperatura_80cm_min,sensor_temperatura_80cm_max,sensor_temperatura_80cm_mean,sensor_temperatura_90cm_min,sensor_temperatura_90cm_max,sensor_temperatura_90cm_mean,sensor_temperatura_100cm_min,sensor_temperatura_100cm_max,sensor_temperatura_100cm_mean,sensor_temperatura_110cm_min,sensor_temperatura_110cm_max,sensor_temperatura_110cm_mean,sensor_temperatura_120cm_min,sensor_temperatura_120cm_max,sensor_temperatura_120cm_mean,sensor_humedad_10cm_min,sensor_humedad_10cm_max,sensor_humedad_10cm_mean,sensor_humedad_20cm_min,sensor_humedad_20cm_max,sensor_humedad_20cm_mean,sensor_humedad_30cm_min,sensor_humedad_30cm_max,sensor_humedad_30cm_mean,sensor_humedad_40cm_min,sensor_humedad_40cm_max,sensor_humedad_40cm_mean,sensor_humedad_50cm_min,sensor_humedad_50cm_max,sensor_humedad_50cm_mean,sensor_humedad_60cm_min,sensor_humedad_60cm_max,sensor_humedad_60cm_mean,sensor_humedad_70cm_min,sensor_humedad_70cm_max,sensor_humedad_70cm_mean,sensor_humedad_80cm_min,sensor_humedad_80cm_max,sensor_humedad_80cm_mean,sensor_humedad_90cm_min,sensor_humedad_90cm_max,sensor_humedad_90cm_mean,sensor_humedad_100cm_min,sensor_humedad_100cm_max,sensor_humedad_100cm_mean,sensor_humedad_110cm_min,sensor_humedad_110cm_max,sensor_humedad_110cm_mean,sensor_humedad_120cm_min,sensor_humedad_120cm_max,sensor_humedad_120cm_mean,sensor_salinidad_10cm_min,sensor_salinidad_10cm_max,sensor_salinidad_10cm_mean,sensor_salinidad_20cm_min,sensor_salinidad_20cm_max,sensor_salinidad_20cm_mean,sensor_salinidad_30cm_min,sensor_salinidad_30cm_max,sensor_salinidad_30cm_mean,sensor_salinidad_40cm_min,sensor_salinidad_40cm_max,sensor_salinidad_40cm_mean,sensor_salinidad_50cm_min,sensor_salinidad_50cm_max,sensor_salinidad_50cm_mean,sensor_salinidad_60cm_min,sensor_salinidad_60cm_max,sensor_salinidad_60cm_mean,sensor_salinidad_70cm_min,sensor_salinidad_70cm_max,sensor_salinidad_70cm_mean,sensor_salinidad_80cm_min,sensor_salinidad_80cm_max,sensor_salinidad_80cm_mean,sensor_salinidad_90cm_min,sensor_salinidad_90cm_max,sensor_salinidad_90cm_mean,sensor_salinidad_100cm_min,sensor_salinidad_100cm_max,sensor_salinidad_100cm_mean,sensor_salinidad_110cm_min,sensor_salinidad_110cm_max,sensor_salinidad_110cm_mean,sensor_salinidad_120cm_min,sensor_salinidad_120cm_max,sensor_salinidad_120cm_mean
2022-10-24,18.4,24.1,21.559393939393942,19.81,22.03,21.113030303030303,20.51,21.52,21.043939393939397,21.64,21.95,21.797575757575757,22.09,22.36,22.215454545454545,21.84,21.92,21.85242424242424,22.41,22.59,22.504848484848484,22.44,22.52,22.486060606060605,22.56,22.6,22.595757575757577,21.66,21.73,21.686060606060607,21.87,22.03,21.936969696969697,,,,18.4,24.1,21.559393939393942,19.81,22.03,21.113030303030303,20.51,21.52,21.043939393939397,21.64,21.95,21.797575757575757,22.09,22.36,22.215454545454545,21.84,21.92,21.85242424242424,22.41,22.59,22.504848484848484,22.44,22.52,22.486060606060605,22.56,22.6,22.595757575757577,21.66,21.73,21.686060606060607,21.87,22.03,21.936969696969697,,,,18.4,24.1,21.559393939393942,19.81,22.03,21.113030303030303,20.51,21.52,21.043939393939397,21.64,21.95,21.797575757575757,22.09,22.36,22.215454545454545,21.84,21.92,21.85242424242424,22.41,22.59,22.504848484848484,22.44,22.52,22.486060606060605,22.56,22.6,22.595757575757577,21.66,21.73,21.686060606060607,21.87,22.03,21.936969696969697,,,
2022-10-25,17.59,23.18,20.307708333333334,19.35,21.56,20.555416666666666,20.11,21.4,20.790208333333332,21.46,21.95,21.654375,22.09,22.36,22.191666666666666,21.68,21.92,21.823958333333334,22.31,22.6,22.483541666666667,22.42,22.52,22.49208333333333,22.54,22.6,22.596458333333334,21.64,21.71,21.679166666666664,21.86,22.06,21.917916666666667,,,,17.59,23.18,20.307708333333334,19.35,21.56,20.555416666666666,20.11,21.4,20.790208333333332,21.46,21.95,21.654375,22.09,22.36,22.191666666666666,21.68,21.92,21.823958333333334,22.31,22.6,22.483541666666667,22.42,22.52,22.49208333333333,22.54,22.6,22.596458333333334,21.64,21.71,21.679166666666664,21.86,22.06,21.917916666666667,,,,17.59,23.18,20.307708333333334,19.35,21.56,20.555416666666666,20.11,21.4,20.790208333333332,21.46,21.95,21.654375,22.09,22.36,22.191666666666666,21.68,21.92,21.823958333333334,22.31,22.6,22.483541666666667,22.42,22.52,22.49208333333333,22.54,22.6,22.596458333333334,21.64,21.71,21.679166666666664,21.86,22.06,21.917916666666667,,,
2022-10-26,18.42,23.08,20.364791666666665,19.62,21.49,20.554375,20.13,21.09,20.66375,21.28,21.74,21.509583333333335,21.94,22.24,22.098541666666666,21.54,21.76,21.6525,22.18,22.43,22.319791666666664,22.28,22.5,22.40895833333333,22.42,22.6,22.556875,21.66,21.68,21.678749999999997,21.85,21.95,21.907083333333333,,,,18.42,23.08,20.364791666666665,19.62,21.49,20.554375,20.13,21.09,20.66375,21.28,21.74,21.509583333333335,21.94,22.24,22.098541666666666,21.54,21.76,21.6525,22.18,22.43,22.319791666666664,22.28,22.5,22.40895833333333,22.42,22.6,22.556875,21.66,21.68,21.678749999999997,21.85,21.95,21.907083333333333,,,,18.42,23.08,20.364791666666665,19.62,21.49,20.554375,20.13,21.09,20.66375,21.28,21.74,21.509583333333335,21.94,22.24,22.098541666666666,21.54,21.76,21.6525,22.18,22.43,22.319791666666664,22.28,22.5,22.40895833333333,22.42,22.6,22.556875,21.66,21.68,21.678749999999997,21.85,21.95,21.907083333333333,,,
2022-10-27,17.01,23.13,19.918958333333332,18.78,21.44,20.159375,19.71,21.0,20.382291666666667,21.09,21.56,21.2975,21.7,22.22,21.932291666666668,21.42,21.67,21.535,22.04,22.37,22.215833333333332,22.23,22.33,22.29354166666667,22.35,22.57,22.41208333333333,21.5,21.68,21.618958333333335,21.71,21.93,21.852083333333336,,,,17.01,23.13,19.918958333333332,18.78,21.44,20.159375,19.71,21.0,20.382291666666667,21.09,21.56,21.2975,21.7,22.22,21.932291666666668,21.42,21.67,21.535,22.04,22.37,22.215833333333332,22.23,22.33,22.29354166666667,22.35,22.57,22.41208333333333,21.5,21.68,21.618958333333335,21.71,21.93,21.852083333333336,,,,17.01,23.13,19.918958333333332,18.78,21.44,20.159375,19.71,21.0,20.382291666666667,21.09,21.56,21.2975,21.7,22.22,21.932291666666668,21.42,21.67,21.535,22.04,22.37,22.215833333333332,22.23,22.33,22.29354166666667,22.35,22.57,22.41208333333333,21.5,21.68,21.618958333333335,21.71,21.93,21.852083333333336,,,
2022-10-28,18.01,22.9,20.311041666666664,19.35,21.47,20.382916666666667,19.92,20.92,20.448541666666667,21.09,21.43,21.230208333333334,21.66,21.89,21.747291666666666,21.42,21.48,21.434583333333336,21.96,22.19,22.10375,22.08,22.28,22.153125,22.26,22.39,22.368958333333335,21.45,21.58,21.483958333333334,21.61,21.85,21.715625,,,,18.01,22.9,20.311041666666664,19.35,21.47,20.382916666666667,19.92,20.92,20.448541666666667,21.09,21.43,21.230208333333334,21.66,21.89,21.747291666666666,21.42,21.48,21.434583333333336,21.96,22.19,22.10375,22.08,22.28,22.153125,22.26,22.39,22.368958333333335,21.45,21.58,21.483958333333334,21.61,21.85,21.715625,,,,18.01,22.9,20.311041666666664,19.35,21.47,20.382916666666667,19.92,20.92,20.448541666666667,21.09,21.43,21.230208333333334,21.66,21.89,21.747291666666666,21.42,21.48,21.434583333333336,21.96,22.19,22.10375,22.08,22.28,22.153125,22.26,22.39,22.368958333333335,21.45,21.58,21.483958333333334,21.61,21.85,21.715625,,,
2022-10-29,18.87,22.13,20.353333333333335,19.79,21.1,20.440208333333334,20.11,20.79,20.498124999999998,21.07,21.41,21.233958333333334,21.66,21.81,21.748958333333334,21.39,21.46,21.425833333333333,22.02,22.2,22.110833333333332,22.06,22.14,22.099999999999998,22.19,22.34,22.235833333333332,21.29,21.5,21.41875,21.63,21.74,21.697708333333335,,,,18.87,22.13,20.353333333333335,19.79,21.1,20.440208333333334,20.11,20.79,20.498124999999998,21.07,21.41,21.233958333333334,21.66,21.81,21.748958333333334,21.39,21.46,21.425833333333333,22.02,22.2,22.110833333333332,22.06,22.14,22.099999999999998,22.19,22.34,22.235833333333332,21.29,21.5,21.41875,21.63,21.74,21.697708333333335,,,,18.87,22.13,20.353333333333335,19.79,21.1,20.440208333333334,20.11,20.79,20.498124999999998,21.07,21.41,21.233958333333334,21.66,21.81,21.748958333333334,21.39,21.46,21.425833333333333,22.02,22.2,22.110833333333332,22.06,22.14,22.099999999999998,22.19,22.34,22.235833333333332,21.29,21.5,21.41875,21.63,21.74,21.697708333333335,,,
2022-10-30,19.05,22.09,20.433695652173913,19.81,21.1,20.43695652173913,20.11,20.79,20.46217391304348,21.05,21.32,21.184782608695652,21.68,21.83,21.746739130434783,21.23,21.5,21.395434782608696,21.91,22.2,22.064565217391305,22.06,22.12,22.09934782608696,22.17,22.21,22.189565217391305,21.25,21.4,21.303478260869564,21.59,21.72,21.671304347826087,,,,19.05,22.09,20.433695652173913,19.81,21.1,20.43695652173913,20.11,20.79,20.46217391304348,21.05,21.32,21.184782608695652,21.68,21.83,21.746739130434783,21.23,21.5,21.395434782608696,21.91,22.2,22.064565217391305,22.06,22.12,22.09934782608696,22.17,22.21,22.189565217391305,21.25,21.4,21.303478260869564,21.59,21.72,21.671304347826087,,,,19.05,22.09,20.433695652173913,19.81,21.1,20.43695652173913,20.11,20.79,20.46217391304348,21.05,21.32,21.184782608695652,21.68,21.83,21.746739130434783,21.23,21.5,21.395434782608696,21.91,22.2,22.064565217391305,22.06,22.12,22.09934782608696,22.17,22.21,22.189565217391305,21.25,21.4,21.303478260869564,21.59,21.72,21.671304347826087,,,
2022-10-31,18.48,22.23,20.285416666666666,19.4,21.1,20.326041666666665,19.92,20.79,20.377708333333334,21.07,21.32,21.16875,21.6,21.83,21.73708333333333,21.21,21.44,21.324583333333333,21.81,22.09,21.97083333333333,21.98,22.12,22.076875,22.17,22.21,22.189583333333335,21.25,21.29,21.270416666666666,21.47,21.72,21.572916666666668,,,,18.48,22.23,20.285416666666666,19.4,21.1,20.326041666666665,19.92,20.79,20.377708333333334,21.07,21.32,21.16875,21.6,21.83,21.73708333333333,21.21,21.44,21.324583333333333,21.81,22.09,21.97083333333333,21.98,22.12,22.076875,22.17,22.21,22.189583333333335,21.25,21.29,21.270416666666666,21.47,21.72,21.572916666666668,,,,18.48,22.23,20.285416666666666,19.4,21.1,20.326041666666665,19.92,20.79,20.377708333333334,21.07,21.32,21.16875,21.6,21.83,21.73708333333333,21.21,21.44,21.324583333333333,21.81,22.09,21.97083333333333,21.98,22.12,22.076875,22.17,22.21,22.189583333333335,21.25,21.29,21.270416666666666,21.47,21.72,21.572916666666668,,,
2022-11-01,19.24,23.44,21.023958333333333,19.89,21.74,20.79375,20.18,21.16,20.645833333333332,21.09,21.53,21.255,21.68,21.83,21.738333333333333,21.21,21.36,21.27145833333333,21.85,22.02,21.944166666666664,21.92,22.07,21.999166666666667,22.13,22.19,22.182916666666667,21.27,21.29,21.270416666666666,21.47,21.57,21.50979166666667,,,,19.24,23.44,21.023958333333333,19.89,21.74,20.79375,20.18,21.16,20.645833333333332,21.09,21.53,21.255,21.68,21.83,21.738333333333333,21.21,21.36,21.27145833333333,21.85,22.02,21.944166666666664,21.92,22.07,21.999166666666667,22.13,22.19,22.182916666666667,21.27,21.29,21.270416666666666,21.47,21.57,21.50979166666667,,,,19.24,23.44,21.023958333333333,19.89,21.74,20.79375,20.18,21.16,20.645833333333332,21.09,21.53,21.255,21.68,21.83,21.738333333333333,21.21,21.36,21.27145833333333,21.85,22.02,21.944166666666664,21.92,22.07,21.999166666666667,22.13,22.19,22.182916666666667,21.27,21.29,21.270416666666666,21.47,21.57,21.50979166666667,,,
2022-11-02,18.97,23.09,20.77625,19.92,21.6,20.792291666666667,20.32,21.08,20.743125,21.2,21.53,21.399583333333336,21.66,21.81,21.72854166666667,21.21,21.48,21.380208333333332,21.81,22.08,21.954583333333332,21.92,22.08,22.004583333333333,22.13,22.19,22.173125,21.24,21.29,21.269791666666666,21.45,21.55,21.503125,,,,18.97,23.09,20.77625,19.92,21.6,20.792291666666667,20.32,21.08,20.743125,21.2,21.53,21.399583333333336,21.66,21.81,21.72854166666667,21.21,21.48,21.380208333333332,21.81,22.08,21.954583333333332,21.92,22.08,22.004583333333333,22.13,22.19,22.173125,21.24,21.29,21.269791666666666,21.45,21.55,21.503125,,,,18.97,23.09,20.77625,19.92,21.6,20.792291666666667,20.32,21.08,20.743125,21.2,21.53,21.399583333333336,21.66,21.81,21.72854166666667,21.21,21.48,21.380208333333332,21.81,22.08,21.954583333333332,21.92,22.08,22.004583333333333,22.13,22.19,22.173125,21.24,21.29,21.269791666666666,21.45,21.55,21.503125,,,
