date,ssm,lst_mean,lst_min,lst_max
2022-01-03,53.0,10.641,4.37,22.03
2022-01-04,59.5,10.563,4.32,20.99
2022-01-05,,10.962,7.71,17.35
2022-01-06,,8.334,-3.49,20.25
2022-01-07,,8.692,2.23,20.59
2022-01-08,127.5,7.197,3.89,18.72
2022-01-09,,8.496,3.26,15.96
2022-01-10,,16.904,10.59,25.4
2022-01-11,,5.368,-1.84,11.62
2022-01-12,,7.044,-3.2,17.8
2022-01-13,,7.104,-0.74,15.42
2022-01-14,,4.014,-5.75,8.84
2022-01-15,56.5,7.726,-0.77,17.86
2022-01-16,57.5,8.43,2.56,20.75
2022-01-17,,7.746,1.48,21.11
2022-01-18,,7.979,1.74,21.13
2022-01-19,,10.065,3.99,16.36
2022-01-20,127.5,7.126,-9.83,18.36
2022-01-21,69.0,6.698,-6.44,19.96
2022-01-22,,3.224,-3.17,6.97
2022-01-23,,3.014,-4.46,14.37
2022-01-24,,3.702,-5.06,13.73
2022-01-25,,6.376,-3.95,14.57
2022-01-26,,6.215,4.46,8.47
2022-01-27,76.0,6.621,2.05,8.05
2022-01-28,79.0,10.587,6.11,19.58
2022-01-29,,8.544,2.37,22.75
2022-01-30,,8.323,1.23,22.62
2022-01-31,,10.585,0.76,22.65
2022-02-01,127.5,11.88,6.93,22.96
2022-02-02,64.5,11.667,4.94,25.08
2022-02-03,,10.401,2.59,24.78
2022-02-04,,11.341,5.88,25.33
2022-02-05,,,,
2022-02-06,,9.857,7.33,15.1
2022-02-07,,11.797,4.98,24.53
2022-02-08,50.0,12.033,7.69,23.28
2022-02-09,,9.393,6.12,16.02
2022-02-10,,8.757,-1.89,17.48
2022-02-11,,6.428,2.4,11.44
2022-02-12,,9.334,4.49,18.18
2022-02-13,127.5,11.277,4.17,22.59
2022-02-14,56.5,12.161,6.82,20.49
2022-02-15,,12.224,6.68,24.64
2022-02-16,,11.859,1.7,24.18
2022-02-17,,15.199,7.15,30.49
2022-02-18,,13.504,4.52,28.21
2022-02-19,,14.783,-1.12,24.91
2022-02-20,37.0,15.013,1.04,25.61
2022-02-21,44.5,14.001,4.68,29.92
2022-02-22,,13.719,5.91,26.92
2022-02-23,,7.441,2.07,12.11
2022-02-24,,12.901,4.73,26.28
2022-02-25,127.5,8.39,2.11,11.28
2022-02-26,84.5,11.217,8.47,13.94
2022-02-27,,0.97,-6.34,4.83
2022-02-28,,12.893,2.86,24.12
2022-03-01,,13.624,4.88,28.69
2022-03-02,,13.909,4.35,27.42
2022-03-03,,15.206,4.78,29.47
2022-03-04,99.5,6.685,2.01,9.34
2022-03-05,90.0,6.906,6.25,8.02
2022-03-06,,0.085,-1.11,1.28
2022-03-07,,2.947,-3.1,9.92
2022-03-08,,12.931,4.03,23.6
2022-03-09,127.5,13.04,5.54,25.52
2022-03-10,100.0,15.964,7.3,23.72
2022-03-11,,10.272,6.55,22.36
2022-03-12,,16.343,8.38,26.68
2022-03-13,,,,
2022-03-14,,12.76,12.76,12.76
2022-03-15,,,,
2022-03-16,121.0,,,
